Rank,Country,Population,Year
1,China,1380914176,2019 (Est.)
2,India,1311559168,2019 (Est.)
3,United States of America,333928672,2019 (Est.)
4,Indonesia,265253184,2019 (Est.)
5,Brazil,220632960,2019 (Est.)
6,Pakistan,210797840,2019 (Est.)
7,Nigeria,202670592,2019 (Est.)
8,Bangladesh,180203952,2019 (Est.)
9,Russia,133026408,2019 (Est.)
10,Japan,125853032,2019 (Est.)
11,Mexico,123491272,2019 (Est.)
12,Philippines,117394520,2019 (Est.)
13,Ethiopia,116776352,2019 (Est.)
14,Vietnam,97894736,2019 (Est.)
15,Egypt,94731960,2019 (Est.)
16,Democratic Republic of the Congo,87265520,2019 (Est.)
17,Turkey,85948784,2019 (Est.)
18,Iran,85644896,2019 (Est.)
19,Germany,80313272,2019 (Est.)
20,Thailand,69297400,2019 (Est.)
21,France,67296536,2019 (Est.)
22,United Kingdom,65436512,2019 (Est.)
23,Italy,62334800,2019 (Est.)
24,Myanmar,58576936,2019 (Est.)
25,Sudan,54946624,2019 (Est.)
26,Spain,49683256,2019 (Est.)
27,South Korea,49327584,2019 (Est.)
28,Tanzania,49254516,2019 (Est.)
29,Kenya,49142516,2019 (Est.)
30,Colombia,48631464,2019 (Est.)
31,South Africa,48486556,2019 (Est.)
32,Uganda,46041928,2019 (Est.)
33,Argentina,45001592,2019 (Est.)
34,Ukraine,42856248,2019 (Est.)
35,Algeria,38219296,2019 (Est.)
36,Poland,38038772,2019 (Est.)
37,Iraq,36181384,2019 (Est.)
38,Canada,36136376,2019 (Est.)
39,Afghanistan,35780456,2019 (Est.)
40,Morocco,34637292,2019 (Est.)
41,Nepal,33708908,2019 (Est.)
42,Malaysia,32233022,2019 (Est.)
43,Peru,31624208,2019 (Est.)
44,Venezuela,30881760,2019 (Est.)
45,Uzbekistan,30296156,2019 (Est.)
46,Saudi Arabia,29401900,2019 (Est.)
47,Yemen,29129420,2019 (Est.)
48,Ghana,28349600,2019 (Est.)
49,Mozambique,27910300,2019 (Est.)
50,Madagascar,27602286,2019 (Est.)
51,North Korea,25513060,2019 (Est.)
